,States,Regions,latitude,longitude,Dates,Usage
0,Punjab,NR,31.51997398,75.98000281,28/10/2019,95.3
1,Haryana,NR,28.45000633,77.01999101,28/10/2019,105.7
2,Rajasthan,NR,26.44999921,74.63998124,28/10/2019,205.6
3,Delhi,NR,28.6699929,77.23000403,28/10/2019,59.2
4,NR UP,NR,27.59998069,78.05000565,28/10/2019,232.8
5,Uttarakhand,NR,30.32040895,78.05000565,28/10/2019,33.2
6,HP,NR,31.10002545,77.16659704,28/10/2019,24.6
7,J&K,NR,33.45,76.24,28/10/2019,42.6
8,Chandigarh,NR,30.71999697,76.78000565,28/10/2019,3.3
9,Chhattisgarh,WR,22.09042035,82.15998734,28/10/2019,85.1
10,Gujarat,WR,22.2587,71.1924,28/10/2019,338.0
11,MP,WR,21.30039105,76.13001949,28/10/2019,202.7
12,Maharashtra,WR,19.25023195,73.16017493,28/10/2019,490.5
13,Goa,WR,15.491997,73.81800065,28/10/2019,10.4
14,DNH,WR,20.26657819,73.0166178,28/10/2019,18.7
15,Andhra Pradesh,SR,14.7504291,78.57002559,28/10/2019,201.2
16,Telangana,SR,18.1124,79.0193,28/10/2019,241.2
17,Karnataka,SR,12.57038129,76.91999711,28/10/2019,255.6
18,Kerala,SR,8.900372741,76.56999263,28/10/2019,83.0
19,Tamil Nadu,SR,12.92038576,79.15004187,28/10/2019,337.6
20,Pondy,SR,11.93499371,79.83000037,28/10/2019,8.0
21,Bihar,ER,25.78541445,87.4799727,28/10/2019,71.7
22,Jharkhand,ER,23.80039349,86.41998572,28/10/2019,23.7
23,Odisha,ER,19.82042971,85.90001746,28/10/2019,79.4
24,West Bengal,ER,22.58039044,88.32994665,28/10/2019,129.0
25,Sikkim,ER,27.3333303,88.6166475,28/10/2019,1.4
26,Arunachal Pradesh,NER,27.10039878,93.61660071,28/10/2019,2.1
27,Assam,NER,26.7499809,94.21666744,28/10/2019,23.4
28,Manipur,NER,24.79997072,93.95001705,28/10/2019,2.3
29,NER Meghalaya,NER,25.57049217,91.8800142,28/10/2019,5.4
30,Mizoram,NER,23.71039899,92.72001461,28/10/2019,1.6
31,Nagaland,NER,25.6669979,94.11657019,28/10/2019,2.1
32,Tripura,NER,23.83540428,91.27999914,28/10/2019,3.9
33,ALL INDIA TOTAL,,,,28/10/2019,3494.4
34,Punjab,NR,31.51997398,75.98000281,29/10/2019,96.5
35,Haryana,NR,28.45000633,77.01999101,29/10/2019,111.5
36,Rajasthan,NR,26.44999921,74.63998124,29/10/2019,213.6
37,Delhi,NR,28.6699929,77.23000403,29/10/2019,60.2
38,NR UP,NR,27.59998069,78.05000565,29/10/2019,240.9
39,Uttarakhand,NR,30.32040895,78.05000565,29/10/2019,33.8
40,HP,NR,31.10002545,77.16659704,29/10/2019,24.1
41,J&K,NR,33.45,76.24,29/10/2019,43.1
42,Chandigarh,NR,30.71999697,76.78000565,29/10/2019,3.2
43,Chhattisgarh,WR,22.09042035,82.15998734,29/10/2019,89.8
44,Gujarat,WR,22.2587,71.1924,29/10/2019,349.9
45,MP,WR,21.30039105,76.13001949,29/10/2019,205.4
46,Maharashtra,WR,19.25023195,73.16017493,29/10/2019,499.3
47,Goa,WR,15.491997,73.81800065,29/10/2019,11.1
48,DNH,WR,20.26657819,73.0166178,29/10/2019,18.9
49,Andhra Pradesh,SR,14.7504291,78.57002559,29/10/2019,205.1
50,Telangana,SR,18.1124,79.0193,29/10/2019,247.4
51,Karnataka,SR,12.57038129,76.91999711,29/10/2019,256.9
52,Kerala,SR,8.900372741,76.56999263,29/10/2019,84.5
53,Tamil Nadu,SR,12.92038576,79.15004187,29/10/2019,346.2
54,Pondy,SR,11.93499371,79.83000037,29/10/2019,8.3
55,Bihar,ER,25.78541445,87.4799727,29/10/2019,72.0
56,Jharkhand,ER,23.80039349,86.41998572,29/10/2019,24.5
57,Odisha,ER,19.82042971,85.90001746,29/10/2019,79.6
58,West Bengal,ER,22.58039044,88.32994665,29/10/2019,142.0
59,Sikkim,ER,27.3333303,88.6166475,29/10/2019,1.4
60,Arunachal Pradesh,NER,27.10039878,93.61660071,29/10/2019,2.0
61,Assam,NER,26.7499809,94.21666744,29/10/2019,23.9
62,Manipur,NER,24.79997072,93.95001705,29/10/2019,2.6
63,NER Meghalaya,NER,25.57049217,91.8800142,29/10/2019,5.4
64,Mizoram,NER,23.71039899,92.72001461,29/10/2019,1.7
65,Nagaland,NER,25.6669979,94.11657019,29/10/2019,2.2
66,Tripura,NER,23.83540428,91.27999914,29/10/2019,3.8
67,ALL INDIA TOTAL,,,,29/10/2019,3586.4
68,Punjab,NR,31.51997398,75.98000281,30/10/2019,102.4
69,Haryana,NR,28.45000633,77.01999101,30/10/2019,115.1
70,Rajasthan,NR,26.44999921,74.63998124,30/10/2019,215.2
71,Delhi,NR,28.6699929,77.23000403,30/10/2019,60.7
72,NR UP,NR,27.59998069,78.05000565,30/10/2019,249.9
73,Uttarakhand,NR,30.32040895,78.05000565,30/10/2019,34.0
74,HP,NR,31.10002545,77.16659704,30/10/2019,24.7
75,J&K,NR,33.45,76.24,30/10/2019,46.0
76,Chandigarh,NR,30.71999697,76.78000565,30/10/2019,3.2
77,Chhattisgarh,WR,22.09042035,82.15998734,30/10/2019,89.1
78,Gujarat,WR,22.2587,71.1924,30/10/2019,355.9
79,MP,WR,21.30039105,76.13001949,30/10/2019,203.4
80,Maharashtra,WR,19.25023195,73.16017493,30/10/2019,479.6
81,Goa,WR,15.491997,73.81800065,30/10/2019,10.9
82,DNH,WR,20.26657819,73.0166178,30/10/2019,19.0
83,Andhra Pradesh,SR,14.7504291,78.57002559,30/10/2019,204.3
84,Telangana,SR,18.1124,79.0193,30/10/2019,256.2
85,Karnataka,SR,12.57038129,76.91999711,30/10/2019,256.0
86,Kerala,SR,8.900372741,76.56999263,30/10/2019,84.7
87,Tamil Nadu,SR,12.92038576,79.15004187,30/10/2019,347.2
88,Pondy,SR,11.93499371,79.83000037,30/10/2019,8.3
89,Bihar,ER,25.78541445,87.4799727,30/10/2019,73.4
90,Jharkhand,ER,23.80039349,86.41998572,30/10/2019,24.4
91,Odisha,ER,19.82042971,85.90001746,30/10/2019,80.3
92,West Bengal,ER,22.58039044,88.32994665,30/10/2019,142.2
93,Sikkim,ER,27.3333303,88.6166475,30/10/2019,1.4
94,Arunachal Pradesh,NER,27.10039878,93.61660071,30/10/2019,2.2
95,Assam,NER,26.7499809,94.21666744,30/10/2019,23.7
96,Manipur,NER,24.79997072,93.95001705,30/10/2019,2.9
97,NER Meghalaya,NER,25.57049217,91.8800142,30/10/2019,5.4
98,Mizoram,NER,23.71039899,92.72001461,30/10/2019,1.8
99,Nagaland,NER,25.6669979,94.11657019,30/10/2019,2.2
100,Tripura,NER,23.83540428,91.27999914,30/10/2019,3.8
101,ALL INDIA TOTAL,,,,30/10/2019,3604.8
102,Punjab,NR,31.51997398,75.98000281,31/10/2019,103.9
103,Haryana,NR,28.45000633,77.01999101,31/10/2019,116.2
104,Rajasthan,NR,26.44999921,74.63998124,31/10/2019,216.8
105,Delhi,NR,28.6699929,77.23000403,31/10/2019,60.6
106,NR UP,NR,27.59998069,78.05000565,31/10/2019,256.7
107,Uttarakhand,NR,30.32040895,78.05000565,31/10/2019,33.7
108,HP,NR,31.10002545,77.16659704,31/10/2019,24.7
109,J&K,NR,33.45,76.24,31/10/2019,44.8
110,Chandigarh,NR,30.71999697,76.78000565,31/10/2019,3.1
111,Chhattisgarh,WR,22.09042035,82.15998734,31/10/2019,83.7
112,Gujarat,WR,22.2587,71.1924,31/10/2019,364.5
113,MP,WR,21.30039105,76.13001949,31/10/2019,200.5
114,Maharashtra,WR,19.25023195,73.16017493,31/10/2019,479.0
115,Goa,WR,15.491997,73.81800065,31/10/2019,10.6
116,DNH,WR,20.26657819,73.0166178,31/10/2019,19.1
117,Andhra Pradesh,SR,14.7504291,78.57002559,31/10/2019,201.3
118,Telangana,SR,18.1124,79.0193,31/10/2019,247.4
119,Karnataka,SR,12.57038129,76.91999711,31/10/2019,258.6
120,Kerala,SR,8.900372741,76.56999263,31/10/2019,85.3
121,Tamil Nadu,SR,12.92038576,79.15004187,31/10/2019,345.6
122,Pondy,SR,11.93499371,79.83000037,31/10/2019,8.3
123,Bihar,ER,25.78541445,87.4799727,31/10/2019,74.1
124,Jharkhand,ER,23.80039349,86.41998572,31/10/2019,23.9
125,Odisha,ER,19.82042971,85.90001746,31/10/2019,69.3
126,West Bengal,ER,22.58039044,88.32994665,31/10/2019,141.3
127,Sikkim,ER,27.3333303,88.6166475,31/10/2019,1.4
128,Arunachal Pradesh,NER,27.10039878,93.61660071,31/10/2019,2.2
129,Assam,NER,26.7499809,94.21666744,31/10/2019,24.2
130,Manipur,NER,24.79997072,93.95001705,31/10/2019,2.9
131,NER Meghalaya,NER,25.57049217,91.8800142,31/10/2019,5.2
132,Mizoram,NER,23.71039899,92.72001461,31/10/2019,1.8
133,Nagaland,NER,25.6669979,94.11657019,31/10/2019,2.1
134,Tripura,NER,23.83540428,91.27999914,31/10/2019,3.8
135,ALL INDIA TOTAL,,,,31/10/2019,3593.5
136,Punjab,NR,31.51997398,75.98000281,01/11/2019,105.6
137,Haryana,NR,28.45000633,77.01999101,01/11/2019,117.4
138,Rajasthan,NR,26.44999921,74.63998124,01/11/2019,210.3
139,Delhi,NR,28.6699929,77.23000403,01/11/2019,63.4
140,NR UP,NR,27.59998069,78.05000565,01/11/2019,263.0
141,Uttarakhand,NR,30.32040895,78.05000565,01/11/2019,34.4
142,HP,NR,31.10002545,77.16659704,01/11/2019,21.5
143,J&K,NR,33.45,76.24,01/11/2019,47.3
144,Chandigarh,NR,30.71999697,76.78000565,01/11/2019,3.1
145,Chhattisgarh,WR,22.09042035,82.15998734,01/11/2019,83.6
146,Gujarat,WR,22.2587,71.1924,01/11/2019,362.3
147,MP,WR,21.30039105,76.13001949,01/11/2019,195.1
148,Maharashtra,WR,19.25023195,73.16017493,01/11/2019,478.2
149,Goa,WR,15.491997,73.81800065,01/11/2019,10.5
150,DNH,WR,20.26657819,73.0166178,01/11/2019,18.9
151,Andhra Pradesh,SR,14.7504291,78.57002559,01/11/2019,198.5
152,Telangana,SR,18.1124,79.0193,01/11/2019,236.7
153,Karnataka,SR,12.57038129,76.91999711,01/11/2019,251.1
154,Kerala,SR,8.900372741,76.56999263,01/11/2019,84.5
155,Tamil Nadu,SR,12.92038576,79.15004187,01/11/2019,348.3
156,Pondy,SR,11.93499371,79.83000037,01/11/2019,8.5
157,Bihar,ER,25.78541445,87.4799727,01/11/2019,75.2
158,Jharkhand,ER,23.80039349,86.41998572,01/11/2019,22.9
159,Odisha,ER,19.82042971,85.90001746,01/11/2019,64.8
160,West Bengal,ER,22.58039044,88.32994665,01/11/2019,140.2
161,Sikkim,ER,27.3333303,88.6166475,01/11/2019,1.3
162,Arunachal Pradesh,NER,27.10039878,93.61660071,01/11/2019,2.3
163,Assam,NER,26.7499809,94.21666744,01/11/2019,24.2
164,Manipur,NER,24.79997072,93.95001705,01/11/2019,2.9
165,NER Meghalaya,NER,25.57049217,91.8800142,01/11/2019,5.8
166,Mizoram,NER,23.71039899,92.72001461,01/11/2019,1.8
167,Nagaland,NER,25.6669979,94.11657019,01/11/2019,2.1
168,Tripura,NER,23.83540428,91.27999914,01/11/2019,3.9
169,ALL INDIA TOTAL,,,,01/11/2019,3565.2
170,Punjab,NR,31.51997398,75.98000281,02/11/2019,105.7
171,Haryana,NR,28.45000633,77.01999101,02/11/2019,115.1
172,Rajasthan,NR,26.44999921,74.63998124,02/11/2019,202.4
173,Delhi,NR,28.6699929,77.23000403,02/11/2019,59.1
174,NR UP,NR,27.59998069,78.05000565,02/11/2019,255.7
175,Uttarakhand,NR,30.32040895,78.05000565,02/11/2019,33.4
176,HP,NR,31.10002545,77.16659704,02/11/2019,21.1
177,J&K,NR,33.45,76.24,02/11/2019,47.7
178,Chandigarh,NR,30.71999697,76.78000565,02/11/2019,2.8
179,Chhattisgarh,WR,22.09042035,82.15998734,02/11/2019,84.4
180,Gujarat,WR,22.2587,71.1924,02/11/2019,357.9
181,MP,WR,21.30039105,76.13001949,02/11/2019,191.5
182,Maharashtra,WR,19.25023195,73.16017493,02/11/2019,468.2
183,Goa,WR,15.491997,73.81800065,02/11/2019,9.9
184,DNH,WR,20.26657819,73.0166178,02/11/2019,18.9
185,Andhra Pradesh,SR,14.7504291,78.57002559,02/11/2019,192.9
186,Telangana,SR,18.1124,79.0193,02/11/2019,236.8
187,Karnataka,SR,12.57038129,76.91999711,02/11/2019,244.8
188,Kerala,SR,8.900372741,76.56999263,02/11/2019,81.7
189,Tamil Nadu,SR,12.92038576,79.15004187,02/11/2019,339.8
190,Pondy,SR,11.93499371,79.83000037,02/11/2019,8.3
191,Bihar,ER,25.78541445,87.4799727,02/11/2019,68.6
192,Jharkhand,ER,23.80039349,86.41998572,02/11/2019,23.3
193,Odisha,ER,19.82042971,85.90001746,02/11/2019,71.6
194,West Bengal,ER,22.58039044,88.32994665,02/11/2019,135.2
195,Sikkim,ER,27.3333303,88.6166475,02/11/2019,1.4
196,Arunachal Pradesh,NER,27.10039878,93.61660071,02/11/2019,2.2
197,Assam,NER,26.7499809,94.21666744,02/11/2019,24.0
198,Manipur,NER,24.79997072,93.95001705,02/11/2019,2.7
199,NER Meghalaya,NER,25.57049217,91.8800142,02/11/2019,5.8
200,Mizoram,NER,23.71039899,92.72001461,02/11/2019,1.8
201,Nagaland,NER,25.6669979,94.11657019,02/11/2019,2.2
202,Tripura,NER,23.83540428,91.27999914,02/11/2019,3.8
203,ALL INDIA TOTAL,,,,02/11/2019,3495.1
204,Punjab,NR,31.51997398,75.98000281,03/11/2019,86.3
205,Haryana,NR,28.45000633,77.01999101,03/11/2019,93.0
206,Rajasthan,NR,26.44999921,74.63998124,03/11/2019,178.7
207,Delhi,NR,28.6699929,77.23000403,03/11/2019,46.1
208,NR UP,NR,27.59998069,78.05000565,03/11/2019,240.8
209,Uttarakhand,NR,30.32040895,78.05000565,03/11/2019,22.5
210,HP,NR,31.10002545,77.16659704,03/11/2019,13.0
211,J&K,NR,33.45,76.24,03/11/2019,45.6
212,Chandigarh,NR,30.71999697,76.78000565,03/11/2019,2.4
213,Chhattisgarh,WR,22.09042035,82.15998734,03/11/2019,81.6
214,Gujarat,WR,22.2587,71.1924,03/11/2019,282.4
215,MP,WR,21.30039105,76.13001949,03/11/2019,182.1
216,Maharashtra,WR,19.25023195,73.16017493,03/11/2019,395.6
217,Goa,WR,15.491997,73.81800065,03/11/2019,7.4
218,DNH,WR,20.26657819,73.0166178,03/11/2019,13.5
219,Andhra Pradesh,SR,14.7504291,78.57002559,03/11/2019,176.7
220,Telangana,SR,18.1124,79.0193,03/11/2019,219.7
221,Karnataka,SR,12.57038129,76.91999711,03/11/2019,226.4
222,Kerala,SR,8.900372741,76.56999263,03/11/2019,69.9
223,Tamil Nadu,SR,12.92038576,79.15004187,03/11/2019,276.5
224,Pondy,SR,11.93499371,79.83000037,03/11/2019,6.1
225,Bihar,ER,25.78541445,87.4799727,03/11/2019,68.2
226,Jharkhand,ER,23.80039349,86.41998572,03/11/2019,21.5
227,Odisha,ER,19.82042971,85.90001746,03/11/2019,66.5
228,West Bengal,ER,22.58039044,88.32994665,03/11/2019,100.4
229,Sikkim,ER,27.3333303,88.6166475,03/11/2019,1.0
230,Arunachal Pradesh,NER,27.10039878,93.61660071,03/11/2019,2.1
231,Assam,NER,26.7499809,94.21666744,03/11/2019,19.0
232,Manipur,NER,24.79997072,93.95001705,03/11/2019,2.4
233,NER Meghalaya,NER,25.57049217,91.8800142,03/11/2019,5.6
234,Mizoram,NER,23.71039899,92.72001461,03/11/2019,1.6
235,Nagaland,NER,25.6669979,94.11657019,03/11/2019,2.2
236,Tripura,NER,23.83540428,91.27999914,03/11/2019,3.1
237,ALL INDIA TOTAL,,,,03/11/2019,3025.3
238,Punjab,NR,31.51997398,75.98000281,04/11/2019,96.1
239,Haryana,NR,28.45000633,77.01999101,04/11/2019,120.7
240,Rajasthan,NR,26.44999921,74.63998124,04/11/2019,226.5
241,Delhi,NR,28.6699929,77.23000403,04/11/2019,74.9
242,NR UP,NR,27.59998069,78.05000565,04/11/2019,296.5
243,Uttarakhand,NR,30.32040895,78.05000565,04/11/2019,39.3
244,HP,NR,31.10002545,77.16659704,04/11/2019,28.4
245,J&K,NR,33.45,76.24,04/11/2019,33.6
246,Chandigarh,NR,30.71999697,76.78000565,04/11/2019,4.6
247,Chhattisgarh,WR,22.09042035,82.15998734,04/11/2019,77.0
248,Gujarat,WR,22.2587,71.1924,04/11/2019,324.1
249,MP,WR,21.30039105,76.13001949,04/11/2019,245.5
250,Maharashtra,WR,19.25023195,73.16017493,04/11/2019,445.4
251,Goa,WR,15.491997,73.81800065,04/11/2019,9.4
252,DNH,WR,20.26657819,73.0166178,04/11/2019,18.9
253,Andhra Pradesh,SR,14.7504291,78.57002559,04/11/2019,170.4
254,Telangana,SR,18.1124,79.0193,04/11/2019,211.0
255,Karnataka,SR,12.57038129,76.91999711,04/11/2019,222.7
256,Kerala,SR,8.900372741,76.56999263,04/11/2019,69.3
257,Tamil Nadu,SR,12.92038576,79.15004187,04/11/2019,294.7
258,Pondy,SR,11.93499371,79.83000037,04/11/2019,7.1
259,Bihar,ER,25.78541445,87.4799727,04/11/2019,83.8
260,Jharkhand,ER,23.80039349,86.41998572,04/11/2019,24.6
261,Odisha,ER,19.82042971,85.90001746,04/11/2019,66.2
262,West Bengal,ER,22.58039044,88.32994665,04/11/2019,110.9
263,Sikkim,ER,27.3333303,88.6166475,04/11/2019,2.1
264,Arunachal Pradesh,NER,27.10039878,93.61660071,04/11/2019,2.2
265,Assam,NER,26.7499809,94.21666744,04/11/2019,23.1
266,Manipur,NER,24.79997072,93.95001705,04/11/2019,2.7
267,NER Meghalaya,NER,25.57049217,91.8800142,04/11/2019,5.9
268,Mizoram,NER,23.71039899,92.72001461,04/11/2019,1.6
269,Nagaland,NER,25.6669979,94.11657019,04/11/2019,2.2
270,Tripura,NER,23.83540428,91.27999914,04/11/2019,3.5
271,ALL INDIA TOTAL,,,,04/11/2019,3421.3
272,Punjab,NR,31.51997398,75.98000281,05/11/2019,105.4
273,Haryana,NR,28.45000633,77.01999101,05/11/2019,123.2
274,Rajasthan,NR,26.44999921,74.63998124,05/11/2019,226.8
275,Delhi,NR,28.6699929,77.23000403,05/11/2019,74.9
276,NR UP,NR,27.59998069,78.05000565,05/11/2019,289.5
277,Uttarakhand,NR,30.32040895,78.05000565,05/11/2019,38.9
278,HP,NR,31.10002545,77.16659704,05/11/2019,28.7
279,J&K,NR,33.45,76.24,05/11/2019,38.1
280,Chandigarh,NR,30.71999697,76.78000565,05/11/2019,4.7
281,Chhattisgarh,WR,22.09042035,82.15998734,05/11/2019,78.4
282,Gujarat,WR,22.2587,71.1924,05/11/2019,257.6
283,MP,WR,21.30039105,76.13001949,05/11/2019,247.7
284,Maharashtra,WR,19.25023195,73.16017493,05/11/2019,452.7
285,Goa,WR,15.491997,73.81800065,05/11/2019,10.5
286,DNH,WR,20.26657819,73.0166178,05/11/2019,18.1
287,Andhra Pradesh,SR,14.7504291,78.57002559,05/11/2019,166.7
288,Telangana,SR,18.1124,79.0193,05/11/2019,211.4
289,Karnataka,SR,12.57038129,76.91999711,05/11/2019,230.7
290,Kerala,SR,8.900372741,76.56999263,05/11/2019,70.4
291,Tamil Nadu,SR,12.92038576,79.15004187,05/11/2019,287.0
292,Pondy,SR,11.93499371,79.83000037,05/11/2019,7.1
293,Bihar,ER,25.78541445,87.4799727,05/11/2019,82.5
294,Jharkhand,ER,23.80039349,86.41998572,05/11/2019,24.8
295,Odisha,ER,19.82042971,85.90001746,05/11/2019,68.2
296,West Bengal,ER,22.58039044,88.32994665,05/11/2019,113.8
297,Sikkim,ER,27.3333303,88.6166475,05/11/2019,1.9
298,Arunachal Pradesh,NER,27.10039878,93.61660071,05/11/2019,2.3
299,Assam,NER,26.7499809,94.21666744,05/11/2019,22.3
300,Manipur,NER,24.79997072,93.95001705,05/11/2019,2.6
301,NER Meghalaya,NER,25.57049217,91.8800142,05/11/2019,6.0
302,Mizoram,NER,23.71039899,92.72001461,05/11/2019,1.6
303,Nagaland,NER,25.6669979,94.11657019,05/11/2019,2.1
304,Tripura,NER,23.83540428,91.27999914,05/11/2019,3.7
305,ALL INDIA TOTAL,,,,05/11/2019,3376.2
306,Punjab,NR,31.51997398,75.98000281,06/11/2019,111.4
307,Haryana,NR,28.45000633,77.01999101,06/11/2019,127.7
308,Rajasthan,NR,26.44999921,74.63998124,06/11/2019,233.3
309,Delhi,NR,28.6699929,77.23000403,06/11/2019,75.4
310,NR UP,NR,27.59998069,78.05000565,06/11/2019,284.0
311,Uttarakhand,NR,30.32040895,78.05000565,06/11/2019,39.1
312,HP,NR,31.10002545,77.16659704,06/11/2019,30.7
313,J&K,NR,33.45,76.24,06/11/2019,43.8
