sr_no,States,Regions,latitude,longitude,Dates,Usage,Date
0,Punjab,NR,31.51997398,75.98000281,28/10/2019,95.3,10/28/19
1,Haryana,NR,28.45000633,77.01999101,28/10/2019,105.7,10/28/19
2,Rajasthan,NR,26.44999921,74.63998124,28/10/2019,205.6,10/28/19
3,Delhi,NR,28.6699929,77.23000403,28/10/2019,59.2,10/28/19
4,NR UP,NR,27.59998069,78.05000565,28/10/2019,232.8,10/28/19
5,Uttarakhand,NR,30.32040895,78.05000565,28/10/2019,33.2,10/28/19
6,HP,NR,31.10002545,77.16659704,28/10/2019,24.6,10/28/19
7,J&K,NR,33.45,76.24,28/10/2019,42.6,10/28/19
8,Chandigarh,NR,30.71999697,76.78000565,28/10/2019,3.3,10/28/19
9,Chhattisgarh,WR,22.09042035,82.15998734,28/10/2019,85.1,10/28/19
10,Gujarat,WR,22.2587,71.1924,28/10/2019,338,10/28/19
11,MP,WR,21.30039105,76.13001949,28/10/2019,202.7,10/28/19
12,Maharashtra,WR,19.25023195,73.16017493,28/10/2019,490.5,10/28/19
13,Goa,WR,15.491997,73.81800065,28/10/2019,10.4,10/28/19
14,DNH,WR,20.26657819,73.0166178,28/10/2019,18.7,10/28/19
15,Andhra Pradesh,SR,14.7504291,78.57002559,28/10/2019,201.2,10/28/19
16,Telangana,SR,18.1124,79.0193,28/10/2019,241.2,10/28/19
17,Karnataka,SR,12.57038129,76.91999711,28/10/2019,255.6,10/28/19
18,Kerala,SR,8.900372741,76.56999263,28/10/2019,83,10/28/19
19,Tamil Nadu,SR,12.92038576,79.15004187,28/10/2019,337.6,10/28/19
20,Pondy,SR,11.93499371,79.83000037,28/10/2019,8,10/28/19
21,Bihar,ER,25.78541445,87.4799727,28/10/2019,71.7,10/28/19
22,Jharkhand,ER,23.80039349,86.41998572,28/10/2019,23.7,10/28/19
23,Odisha,ER,19.82042971,85.90001746,28/10/2019,79.4,10/28/19
24,West Bengal,ER,22.58039044,88.32994665,28/10/2019,129,10/28/19
25,Sikkim,ER,27.3333303,88.6166475,28/10/2019,1.4,10/28/19
26,Arunachal Pradesh,NER,27.10039878,93.61660071,28/10/2019,2.1,10/28/19
27,Assam,NER,26.7499809,94.21666744,28/10/2019,23.4,10/28/19
28,Manipur,NER,24.79997072,93.95001705,28/10/2019,2.3,10/28/19
29,NER Meghalaya,NER,25.57049217,91.8800142,28/10/2019,5.4,10/28/19
30,Mizoram,NER,23.71039899,92.72001461,28/10/2019,1.6,10/28/19
31,Nagaland,NER,25.6669979,94.11657019,28/10/2019,2.1,10/28/19
32,Tripura,NER,23.83540428,91.27999914,28/10/2019,3.9,10/28/19
33,ALL INDIA TOTAL,,,,28/10/2019,3494.4,10/28/19
34,Punjab,NR,31.51997398,75.98000281,29/10/2019,96.5,10/29/19
35,Haryana,NR,28.45000633,77.01999101,29/10/2019,111.5,10/29/19
36,Rajasthan,NR,26.44999921,74.63998124,29/10/2019,213.6,10/29/19
37,Delhi,NR,28.6699929,77.23000403,29/10/2019,60.2,10/29/19
38,NR UP,NR,27.59998069,78.05000565,29/10/2019,240.9,10/29/19
39,Uttarakhand,NR,30.32040895,78.05000565,29/10/2019,33.8,10/29/19
