Date,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DNH,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Pondy,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,ALL INDIA TOTAL
28/10/2019,95.3,105.7,205.6,59.2,232.8,33.2,24.6,42.6,3.3,85.1,338,202.7,490.5,10.4,18.7,201.2,241.2,255.6,83,337.6,8,71.7,23.7,79.4,129,1.4,2.1,23.4,2.3,5.4,1.6,2.1,3.9,3494.4
29/10/2019,96.5,111.5,213.6,60.2,240.9,33.8,24.1,43.1,3.2,89.8,349.9,205.4,499.3,11.1,18.9,205.1,247.4,256.9,84.5,346.2,8.3,72,24.5,79.6,142,1.4,2,23.9,2.6,5.4,1.7,2.2,3.8,3586.4
30/10/2019,102.4,115.1,215.2,60.7,249.9,34,24.7,46,3.2,89.1,355.9,203.4,479.6,10.9,19,204.3,256.2,256,84.7,347.2,8.3,73.4,24.4,80.3,142.2,1.4,2.2,23.7,2.9,5.4,1.8,2.2,3.8,3604.8
31/10/2019,103.9,116.2,216.8,60.6,256.7,33.7,24.7,44.8,3.1,83.7,364.5,200.5,479,10.6,19.1,201.3,247.4,258.6,85.3,345.6,8.3,74.1,23.9,69.3,141.3,1.4,2.2,24.2,2.9,5.2,1.8,2.1,3.8,3593.5
01/11/2019,105.6,117.4,210.3,63.4,263,34.4,21.5,47.3,3.1,83.6,362.3,195.1,478.2,10.5,18.9,198.5,236.7,251.1,84.5,348.3,8.5,75.2,22.9,64.8,140.2,1.3,2.3,24.2,2.9,5.8,1.8,2.1,3.9,3565.2
02/11/2019,105.7,115.1,202.4,59.1,255.7,33.4,21.1,47.7,2.8,84.4,357.9,191.5,468.2,9.9,18.9,192.9,236.8,244.8,81.7,339.8,8.3,68.6,23.3,71.6,135.2,1.4,2.2,24,2.7,5.8,1.8,2.2,3.8,3495.1
03/11/2019,86.3,93,178.7,46.1,240.8,22.5,13,45.6,2.4,81.6,282.4,182.1,395.6,7.4,13.5,176.7,219.7,226.4,69.9,276.5,6.1,68.2,21.5,66.5,100.4,1,2.1,19,2.4,5.6,1.6,2.2,3.1,3025.3
04/11/2019,96.1,120.7,226.5,74.9,296.5,39.3,28.4,33.6,4.6,77,324.1,245.5,445.4,9.4,18.9,170.4,211,222.7,69.3,294.7,7.1,83.8,24.6,66.2,110.9,2.1,2.2,23.1,2.7,5.9,1.6,2.2,3.5,3421.3
05/11/2019,105.4,123.2,226.8,74.9,289.5,38.9,28.7,38.1,4.7,78.4,257.6,247.7,452.7,10.5,18.1,166.7,211.4,230.7,70.4,287,7.1,82.5,24.8,68.2,113.8,1.9,2.3,22.3,2.6,6,1.6,2.1,3.7,3376.2
06/11/2019,111.4,127.7,233.3,75.4,284,39.1,30.7,43.8,4.6,77.8,273.3,236.9,441.2,10.1,17.9,156,201.5,220.5,70.2,238.5,5.7,80.7,24.9,67.8,111.2,1.9,2.2,20.5,2.7,5.9,1.3,2.1,3.8,3301.1
